Societe,Statement,Cle_indicateur,Date,Nb_occurrences,Valeurs,Indicateur
AB inBev,Inconnu,elementsnonsousjacentsattribuablesauxparticipationsnedonnantpaslecontrole,2020-12-31,2,-228 | -0.11,Eléments non sous-jacents attribuables aux participations ne donnant pas le contrôle
AB inBev,Inconnu,elementsnonsousjacentsattribuablesauxparticipationsnedonnantpaslecontrole,2021-12-31,2,-20 | -0.01,Eléments non sous-jacents attribuables aux participations ne donnant pas le contrôle
AB inBev,Inconnu,elementsnonsousjacentsaudessusdelebitinclpertesdevaleur,2022-12-31,2,-251 | 251,Eléments non sous-jacents au-dessus de l'EBIT (incl. pertes de valeur)
AB inBev,Inconnu,elementsnonsousjacentsavantimpots,2020-12-31,2,3103 | 1.55,"Eléments non sous-jacents, avant impôts"
AB inBev,Inconnu,elementsnonsousjacentsavantimpots,2021-12-31,2,614 | 0.31,"Eléments non sous-jacents, avant impôts"
AB inBev,Inconnu,elementsnonsousjacentsdansleresultatdesentreprisesassociees,2022-12-31,2,-1143 | 1143,Éléments non sous-jacents dans le résultat des entreprises associées
AB inBev,Inconnu,elementsnonsousjacentsdansleresultatdesentreprisesassociees,2023-12-31,2,-35 | 35,Éléments non sous-jacents dans le résultat des entreprises associées
AB inBev,Inconnu,elementsnonsousjacentsdansleresultatdesentreprisesassociees,2024-12-31,2,104 | -104,Éléments non sous-jacents dans le résultat des entreprises associées
AB inBev,Inconnu,elementsnonsousjacentsdansleresultatdesentreprisesassociees,2025-12-31,2,9 | -9,Éléments non sous-jacents dans le résultat des entreprises associées
AB inBev,Inconnu,empruntsportantinterets,2015-12-31,2,43541 | 5912,Emprunts portant intérêts
AB inBev,Inconnu,empruntsportantinterets,2022-12-31,2,78880 | 1029,Emprunts portant intérêts
AB inBev,Inconnu,empruntsportantinterets,2023-12-31,2,74163 | 3987,Emprunts portant intérêts
AB inBev,Inconnu,empruntsportantinterets,2024-12-31,2,70720 | 1449,Emprunts portant intérêts
AB inBev,Inconnu,empruntsportantinterets,2025-12-31,2,72128 | 885,Emprunts portant intérêts
AB inBev,Inconnu,fluxdetresorerieactivitesoperationnelles,2015-12-31,2,14121 | 18063,Flux de trésorerie – Activités opérationnelles
AB inBev,Inconnu,impactnetdeselementsnonsousjacentssurleresultat,2022-12-31,2,153 | 0.07,Impact net des éléments non sous-jacents sur le résultat
AB inBev,Inconnu,impactnetdeselementsnonsousjacentssurleresultat,2023-12-31,2,614 | 0.31,Impact net des éléments non sous-jacents sur le résultat
AB inBev,Inconnu,impactsdelhyperinflation,2024-12-31,2,0.07 | 145,Impacts de l’hyperinflation
AB inBev,Inconnu,impactsdelhyperinflation,2025-12-31,2,0.04 | 74,Impacts de l’hyperinflation
AB inBev,Inconnu,impotsnonrecurrents,2016-12-31,2,-77 | -0.04,Impôts non-récurrents
AB inBev,Inconnu,impotsnonrecurrents,2017-12-31,2,-830 | -0.42,Impôts non-récurrents
AB inBev,Inconnu,impotsnonrecurrents,2018-12-31,2,-240 | -0.12,Impôts non-récurrents
AB inBev,Inconnu,impotsnonsousjacents,2020-12-31,2,-155 | -0.08,Impôts non sous-jacents
