Societe,Statement,Cle_indicateur,Date,Nb_occurrences,Valeurs,Indicateur
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2016-12-31,2,16 | -16,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2017-12-31,2,430 | -430,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2018-12-31,2,153 | -153,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2019-12-31,2,152 | -152,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2020-12-31,2,156 | -156,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2021-12-31,2,248 | -248,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2022-12-31,2,299 | -299,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2023-12-31,2,295 | -295,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2024-12-31,2,329 | -329,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,quotepartdansleresultatdesentreprisesassociees,2025-12-31,2,378 | -378,Quote-part dans le résultat des entreprises associées
AB inBev,Inconnu,resultatdesactivitesabandonnees,2016-12-31,2,-48 | -0.03,Résultat des activités abandonnées
AB inBev,Inconnu,resultatdesactivitesabandonnees,2017-12-31,2,-28 | -0.01,Résultat des activités abandonnées
Coca-Cola,Inconnu,cashandcashequivalents,2015-12-31,2,nan | 7309,Cash and Cash Equivalents
Coca-Cola,Inconnu,cashandcashequivalents,2016-12-31,2,nan | 8555,Cash and Cash Equivalents
Coca-Cola,Inconnu,cashandcashequivalents,2017-12-31,2,nan | 6006,Cash and Cash Equivalents
Coca-Cola,Inconnu,deferredincometaxes,2015-12-31,2,4691 | 73,Deferred Income Taxes
Coca-Cola,Inconnu,deferredincometaxes,2016-12-31,2,3753 | -856,Deferred Income Taxes
Coca-Cola,Inconnu,deferredincometaxes,2017-12-31,2,2522 | -1256,Deferred Income Taxes
Coca-Cola,Inconnu,netcashprovidedbyusedinfinancingactivities,2016-12-31,2,-6545 | nan,Net cash provided by (used in) financing activities
Coca-Cola,Inconnu,netcashprovidedbyusedinfinancingactivities,2017-12-31,2,-7409 | -38,Net cash provided by (used in) financing activities
Coca-Cola,Inconnu,netcashprovidedbyusedininvestingactivities,2016-12-31,2,-999 | nan,Net cash provided by (used in) investing activities
Coca-Cola,Inconnu,netcashprovidedbyusedininvestingactivities,2017-12-31,2,-2385 | -65,Net cash provided by (used in) investing activities
Coca-Cola,Inconnu,otheroperatingcharges,2015-12-31,2,1657 | 929,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2016-12-31,2,1510 | 647,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2017-12-31,2,2157 | 1218,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2018-12-31,2,1079 | 558,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2019-12-31,2,458 | 127,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2020-12-31,2,853 | 556,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2021-12-31,2,846 | 506,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2022-12-31,2,1215 | 1086,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2023-12-31,2,1951 | 1741,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2024-12-31,2,4163 | 4000,Other operating charges
Coca-Cola,Inconnu,otheroperatingcharges,2025-12-31,2,1261 | 1052,Other operating charges
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2019-12-31,4,2.69902e+07 | 4.9254e+07 | 7.76506e+06 | 3.44726e+07,Flux de trésorerie – Activités de financement
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2018-12-31,3,3.08916e+07 | 1.72098e+08 | 1.82293e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2019-12-31,3,4.65293e+07 | 2.04295e+08 | 2.10995e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldespassifsnoncourants,2018-12-31,3,1.70246e+07 | 1.29222e+06 | 1.30616e+08,Total des passifs non courants
DELICE,Bilan,totaldespassifsnoncourants,2019-12-31,3,1.9918e+07 | 2.48842e+06 | 1.70416e+08,Total des passifs non courants
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2018-12-31,3,1.05e+07 | 5.05491e+07 | 3.72471e+07,Flux de trésorerie – Activités de financement
DELICE,Bilan,autresactifscourants,2020-12-31,2,-882365 | 9.57285e+06,Autres actifs courants
DELICE,Bilan,autresactifscourants,2021-12-31,2,7.68095e+06 | 1.89189e+06,Autres actifs courants
DELICE,Bilan,autresactifscourants,2022-12-31,2,-7.97339e+06 | 9.86528e+06,Autres actifs courants
DELICE,Bilan,autresactifscourants,2024-12-31,2,3.51737e+07 | -1.98973e+07,Autres actifs courants
DELICE,Bilan,autresactifscourants,2025-12-31,2,5.40189e+07 | -1.88452e+07,Autres actifs courants
DELICE,Bilan,autresactifsnoncourants,2018-12-31,2,1.55945e+06 | 4.81768e+06,Autres actifs non courants
DELICE,Bilan,autresactifsnoncourants,2019-12-31,2,2.10212e+06 | 5.31375e+06,Autres actifs non courants
DELICE,Bilan,autrescapitauxpropres,2018-12-31,2,6.4325e+07 | 1.01943e+07,Autres capitaux propres
DELICE,Bilan,autrescapitauxpropres,2019-12-31,2,8.0884e+07 | 6.70006e+06,Autres capitaux propres
DELICE,Bilan,autrespassifscourants,2015-12-31,2,1.36523e+06 | 713451,Autres passifs courants
