Societe,Date,Annee,Periode,Devise,Echelle,actif_total,actif_courant,actif_immobilise,stocks,clients,liquidites,placements,immo_corp_brut,immo_incorp_brut,amort_corp,amort_incorp,capitaux_propres,capital_social,dettes_total,dettes_courantes,dettes_non_courantes,fournisseurs,passif_total,ca,resultat_exploitation,resultat_net,charges_personnel,dotations_amort,charges_expl_total,produits_expl_total,resultat_financier_net,produits_placements,ebe,va,marge_commerciale,production,achats_consommes,marge_cout_matieres,ventes_marchandises,capitaux_permanents,fonds_roulement,bfr,amort_cumul,immo_brut,charges_decaissables,charges_financieres_est
Coca-Cola,2015-12-31,2015,FY,USD,million,89996.0,33395.0,56601.0,2902.0,,,8322.0,,,,,25764.0,,64232.0,26929.0,37303.0,9660.0,89996.0,44294.0,8728.0,7366.0,,1970.0,,,,,10698.0,,,,,,,63067.0,6466.0,-6758.0,0.0,0.0,,
Coca-Cola,2016-12-31,2016,FY,USD,million,87270.0,34010.0,53260.0,2675.0,,,9595.0,,,,,23220.0,,64050.0,26532.0,37518.0,9490.0,87270.0,41863.0,8626.0,6550.0,,1787.0,,,,,10413.0,,,,,,,60738.0,7478.0,-6815.0,0.0,0.0,,
Coca-Cola,2017-12-31,2017,FY,USD,million,87896.0,36545.0,51351.0,2655.0,,,9352.0,,,,,18977.0,,68919.0,27194.0,41725.0,8748.0,87896.0,35410.0,7501.0,1283.0,,1260.0,,,,,8761.0,,,,,,,60702.0,9351.0,-6093.0,0.0,0.0,,
Coca-Cola,2018-12-31,2018,FY,USD,million,83216.0,24930.0,58286.0,3071.0,,9077.0,2025.0,,,,,19058.0,,64158.0,28782.0,35376.0,9533.0,83216.0,34300.0,9152.0,6476.0,,1086.0,,,,,10238.0,,,,,,,54434.0,-3852.0,-6462.0,0.0,0.0,,
Coca-Cola,2019-12-31,2019,FY,USD,million,86381.0,20411.0,65970.0,3379.0,,6480.0,1467.0,,,,,21098.0,,65283.0,26973.0,38310.0,11312.0,86381.0,37266.0,10086.0,8985.0,,1365.0,,,,,11451.0,,,,,,,59408.0,-6562.0,-7933.0,0.0,0.0,,
Coca-Cola,2020-12-31,2020,FY,USD,million,87296.0,19240.0,68056.0,3266.0,,6795.0,1771.0,,,,,21284.0,,66012.0,14601.0,51411.0,11145.0,87296.0,33014.0,8997.0,7768.0,,1536.0,,,,,10533.0,,,,,,,72695.0,4639.0,-7879.0,0.0,0.0,,
Coca-Cola,2021-12-31,2021,FY,USD,million,94354.0,22545.0,71809.0,3414.0,,9684.0,1242.0,,,,,24860.0,,69494.0,19950.0,49544.0,14619.0,94354.0,38655.0,10308.0,9804.0,,1452.0,,,,,11760.0,,,,,,,74404.0,2595.0,-11205.0,0.0,0.0,,
Coca-Cola,2022-12-31,2022,FY,USD,million,92763.0,22591.0,70172.0,4233.0,,9519.0,1043.0,,,,,25826.0,,66937.0,19724.0,47213.0,15749.0,92763.0,43004.0,10909.0,9571.0,,1260.0,,,,,12169.0,,,,,,,73039.0,2867.0,-11516.0,0.0,0.0,,
Coca-Cola,2023-12-31,2023,FY,USD,million,97703.0,26732.0,70971.0,4424.0,,9366.0,2997.0,,,,,27480.0,,70223.0,23571.0,46652.0,15485.0,97703.0,45754.0,11311.0,10703.0,,1128.0,,,,,12439.0,,,,,,,74132.0,3161.0,-11061.0,0.0,0.0,,
Coca-Cola,2024-12-31,2024,FY,USD,million,100549.0,25997.0,74552.0,4728.0,,10828.0,2020.0,,,,,26372.0,,74177.0,25249.0,48928.0,21712.0,100549.0,47061.0,9992.0,10649.0,,1075.0,,,,,11067.0,,,,,,,75300.0,748.0,-16984.0,0.0,0.0,,
Coca-Cola,2025-12-31,2025,FY,USD,million,104816.0,31044.0,73772.0,4425.0,,10270.0,3602.0,,,,,34275.0,,70541.0,21281.0,49260.0,14813.0,104816.0,47941.0,13762.0,13137.0,,1050.0,,,,,14812.0,,,,,,,83535.0,9763.0,-10388.0,0.0,0.0,,
DELICE,2015-12-31,2015,FY,TND,unite,597805271.0,25053642.0,554751629.0,,,,16500000.0,3687.0,,-1106.0,,27085130.0,549072620.0,1371405.0,1371405.0,0.0,6172.0,597805271.0,26575227.0,25675795.0,27085130.0,299862.0,737.0,1192682.0,26868477.0,426.0,1601042.0,25676532.0,,,,,,,27085130.0,-527666499.0,-6172.0,1106.0,3687.0,1191945.0,0.0
DELICE,2016-12-31,2016,FY,TND,unite,577303474.0,22461040.0,554842434.0,,,,15500000.0,68297.0,35218.0,-6216.0,-3913.0,23118422.0,549072620.0,459454.0,459454.0,0.0,65339.0,577303474.0,26809569.0,25561765.0,23118422.0,375213.0,9023.0,1639528.0,27201293.0,,857270.0,25570788.0,,,,,,,23118422.0,-531724012.0,-65339.0,10129.0,103515.0,1630505.0,
DELICE,2017-12-31,2017,FY,TND,unite,578482624.0,22843594.0,555639030.0,,,,18500000.0,127479.0,35218.0,-27062.0,-15653.0,23642694.0,549072620.0,1056961.0,1056961.0,0.0,71606.0,578482624.0,23630964.0,22904020.0,23642694.0,530904.0,32586.0,1826944.0,24730964.0,,787132.0,22936606.0,,,,,,,23642694.0,-531996336.0,-71606.0,42715.0,162697.0,1794358.0,
DELICE,2018-12-31,2018,FY,TND,unite,526946725.0,258793851.0,268152874.0,105922277.0,32252305.0,,37211858.0,508023749.0,4914908.0,,,30891570.0,549072620.0,344654045.0,214037834.0,17024554.0,105514264.0,526946725.0,844483415.0,48193614.0,30053135.0,,,,851779866.0,,,,,,,,,,47916124.0,-220236750.0,32660318.0,0.0,512938657.0,,
DELICE,2019-12-31,2019,FY,TND,unite,640918067.0,322173968.0,318744099.0,134275761.0,30776033.0,,10221669.0,592304987.0,5121340.0,,,46529346.0,549072620.0,429922803.0,259507129.0,19918024.0,112273321.0,640918067.0,965360619.0,59946199.0,43011222.0,,,,978759109.0,,,,,,,,,,66447370.0,-252296729.0,52778473.0,0.0,597426327.0,,
DELICE,2020-12-31,2020,FY,TND,unite,580099540.0,21913595.0,558185945.0,,2125304.0,,9000000.0,431563.0,35218.0,-144786.0,-35218.0,21341311.0,549072620.0,558758229.0,1540294.0,200000.0,17733.0,580099540.0,22354097.0,20786131.0,21341311.0,2403363.0,1662310.0,4565481.0,25351612.0,,705184.0,22448441.0,,,,,,,21541311.0,-536644634.0,2107571.0,180004.0,466781.0,2903171.0,
DELICE,2021-12-31,2021,FY,TND,unite,582323759.0,16387658.0,565936101.0,,3433154.0,,2000000.0,624143.0,35218.0,-258730.0,-35218.0,21356122.0,549072620.0,560967637.0,2558274.0,365804.0,188299.0,582323759.0,20942799.0,21032656.0,21356122.0,3607506.0,779749.0,5046060.0,26078716.0,,456095.0,21812405.0,,,,,,,21721926.0,-544214175.0,3244855.0,293948.0,659361.0,4266311.0,
DELICE,2022-12-31,2022,FY,TND,unite,586426976.0,12994788.0,573432188.0,,1012810.0,,2116698.0,570943.0,35218.0,-311944.0,-35218.0,23926803.0,549072620.0,3416180.0,,455150.0,420700.0,586426976.0,23562430.0,25360709.0,23926803.0,1649635.0,-1804241.0,572247.0,25932956.0,,572136.0,27164950.0,,,,,,,24381953.0,-549050235.0,592110.0,347162.0,606161.0,2376488.0,
DELICE,2023-12-31,2023,FY,TND,unite,597808147.0,24360836.0,573447311.0,,1494694.0,,7000000.0,632903.0,35218.0,-358780.0,-35218.0,34430924.0,549072620.0,2329332.0,,517474.0,371831.0,597808147.0,34179018.0,34072509.0,34430924.0,1737080.0,172651.0,2662550.0,36735059.0,-1687.0,424710.0,34245160.0,,,,,,,34948398.0,-538498913.0,1122863.0,393998.0,668121.0,2489899.0,1687.0
DELICE,2024-12-31,2024,FY,TND,unite,623715162.0,50374600.0,573340562.0,,1408476.0,,12914633.0,644195.0,35218.0,-476821.0,-35218.0,58901016.0,549072620.0,2279688.0,,612224.0,30170.0,623715162.0,58382497.0,58775684.0,58901016.0,2058078.0,212790.0,2956813.0,61732497.0,-215.0,,58988474.0,,,,,,,59513240.0,-513827322.0,1378306.0,512039.0,679413.0,2744023.0,215.0
DELICE,2025-12-31,2025,FY,TND,unite,662806277.0,89555005.0,573251272.0,,1612544.0,,32200128.0,650354.0,35218.0,-568670.0,-35218.0,64781775.0,549072620.0,31496290.0,,650674.0,20664.0,662806277.0,63611762.0,63739609.0,64781775.0,2262891.0,130299.0,3222777.0,66962385.0,-12706.0,,63869908.0,,,,,,,65432449.0,-507818823.0,1591880.0,603888.0,685572.0,3092478.0,12706.0
SFBT,2005-03-31,2005,T1,TND,unite,,,,,,,,,,,,,,,,,,,33345548.459,6052700.947,12777061.151,2836272.32,2303774.283,29200243.9,35252944.848,-243091.19,8327255.798,8356475.2299999995,,,,9797950.561,,,,,0.0,0.0,0.0,26896469.617,243091.19
SFBT,2005-06-30,2005,S1,TND,unite,218693721.048,63897189.617,152954696.698,17158793.975,33360414.577,6801181.091,3584748.84,144544889.511,261092.103,-85627166.986,-172632.568,123069333.981,48000000.0,95624387.067,56950247.362,38674139.705,15313647.147,218693721.048,66691096.919,12105401.895,25554122.302,5672544.639,4607548.565,58400487.801,70505889.696,-486182.379,16654511.597,16712950.46,,,,19595901.122,,,161743473.686,8788776.987999976,35205561.405,85799799.554,144805981.614,53792939.236,486182.379
SFBT,2005-09-30,2005,9M,TND,unite,213460678.555,59464799.999,152167912.654,17706537.05,28788187.554,7068805.245,3506347.889,145506690.052,276979.892,-87001798.38,-200760.549,128768791.111,48000000.0,84691887.444,47994779.448,36697107.996,13533314.745,213460678.555,104671680.744,,30929860.431,8227717.222,8124903.654,,,,,,,,,32459719.514,,,165465899.107,13297986.45299998,32961409.859000005,87202558.92899999,145783669.94399998,,
SFBT,2005-12-31,2005,FY,TND,unite,208227636.062,55032410.381,151381128.609,18254280.126,24215960.532,7336429.399,3427946.939,146468490.593,292867.68,-88376429.773,-228888.529,134468248.24,48000000.0,73759387.822,39039311.535,34720076.287,11752982.342,208227636.062,142652264.569,,36305598.561,10782889.805,11642258.743,,,,,,,,,45323537.907,,,169188324.527,17807195.918000013,30717258.316,88605318.302,146761358.273,,
SFBT,2006-03-31,2006,T1,TND,unite,222252055.058,63989963.775,156360224.748,19916014.587,30371521.157,8488128.651,3423896.517,151525673.979,302345.108,-90192653.287,-228888.529,135662454.383,49988950.276,86589600.674,51529162.402,35060438.272,10001026.046,222252055.058,36084948.543,6527288.81,14843919.409,2801223.347,2278262.522,32271338.688,38798627.498,-279251.856,9755349.469,8805551.331999999,,,,11605974.707,,,170722892.65499997,14362667.906999975,40286509.698,90421541.816,151828019.087,29993076.166,279251.856
SFBT,2006-06-30,2006,S1,TND,unite,236432300.931,73047045.54,161394644.177,21596212.765,36595476.9,9652624.562,3419801.091,156639048.291,311927.84,-92029057.063,-228888.529,136869929.484,52000000.0,99562371.447,64157789.39,35404582.057,8229603.568,236432300.931,72169897.087,13054577.62,29687838.819,5602446.694,4556525.044,64542677.376,77597254.996,-558503.713,19510698.939,17611102.663999997,,,,23211949.414,,,172274511.541,10879867.364000022,49962086.097,92257945.592,156950976.131,59986152.332,558503.713
SFBT,2006-09-30,2006,9M,TND,unite,225846046.29,63242077.209,160613718.835,19712599.069,31604063.48,5732196.831,3423516.246,158301912.796,316999.2,-93286263.118,-244082.601,142248222.725,52000000.0,83597823.565,50143470.766,33454352.799,9097026.499,225846046.29,108859159.881,20725020.846,35263144.447,8205361.627,7168948.783,96322835.918,117047856.764,-916431.738,19596629.476,27893969.629,,,,37396209.866,,,175702575.524,15088856.68899998,42219636.05,93530345.719,158618911.996,89153887.13499999,916431.738
SFBT,2006-12-31,2006,FY,TND,unite,215259791.649,53437108.878,159832793.492,17828985.374,26612650.061,1811769.1,3427231.401,159964777.3,322070.56,-94543469.174,-259276.672,147626515.966,52000000.0,67633275.683,36129152.141,31504123.542,9964449.431,215259791.649,145548422.675,28395464.072,40838450.076,10808276.559,9781372.523,128102994.46,156498458.532,-1274359.764,19682560.013,38176836.595,,,,51580470.317,,,179130639.508,19297846.015999973,34477186.004,94802745.846,160286847.86,118321621.93699999,1274359.764
SFBT,2007-03-31,2007,T1,TND,unite,227574587.218,66944898.86,158622540.699,20118025.088,32510373.689,2995105.531,6386083.159,161726062.83,327946.335,-96421213.365,-265348.603,148973321.029,53988950.276,78601266.188,46692566.106,31908700.082,12406214.167,227574587.218,35207828.065,7299043.241,16000399.451,2838182.135,2908076.52,30436824.189,37735867.43,-226381.463,10744609.492,10207119.761,,,,12327770.786,,,180882021.111,22259480.412,40222184.61,96686561.968,162054009.16500002,27528747.669,226381.463
SFBT,2007-06-30,2007,S1,TND,unite,240026213.848,80602775.398,157398840.653,22432498.576,38473627.58,4191590.145,9377811.047,163506918.2,333887.396,-98319821.381,-271488.0,150335090.593,56000000.0,89691123.255,57373351.338,32317771.917,14875109.622,240026213.848,70415656.131,14598086.482,32000798.902,5676364.269,5816153.04,60873648.378,75471734.86,-452762.926,21489218.985,20414239.522,,,,24655541.572,,,182652862.51,25254021.856999993,46031016.534,98591309.381,163840805.596,55057495.338,452762.926
SFBT,2007-09-30,2007,9M,TND,unite,235386143.28,70526292.162,162892804.181,21860183.516,31212152.898,4759863.583,8382487.247,168003619.344,367616.927,-100074558.629,-281672.044,156314668.484,56000000.0,79071474.796,48427653.992,30643820.804,13637926.211,235386143.28,109203325.646,23225484.986,38156660.38,8362003.894,8542096.803,93904260.58,117129745.565,-1069315.82,21728937.973,31767581.789,,,,38297113.311,,,186958489.288,24065685.106999993,39434410.202999994,100356230.673,168371236.271,85362163.777,1069315.82
SFBT,2007-12-31,2007,FY,TND,unite,230746072.711,60449808.927,168386767.709,21287868.456,23950678.217,5328137.022,7387163.446,172500320.488,401346.459,-101829295.877,-291856.089,162294246.374,56000000.0,68451826.337,39481956.645,28969869.692,12400742.8,230746072.711,147990995.162,31852883.489,44312521.858,11047643.519,11268040.566,126934872.781,158787756.27,-1685868.715,21968656.961,43120924.055,,,,51938685.049,,,191264116.066,22877348.357000023,32837803.873,102121151.966,172901666.947,115666832.215,1685868.715
SFBT,2008-03-31,2008,T1,TND,unite,247898600.98,75876186.821,170139124.134,21609120.774,30039428.556,11849784.247,5400819.628,174997053.358,402596.459,-103380102.898,-298497.138,163331226.734,56000000.0,84567374.246,55013529.807,29553844.44,13943096.246,247898600.98,36309659.067,8025502.042,17136980.36,2962301.831,2408840.812,31466891.207,39492393.248,-266305.371,10628106.772,10434342.854,,,,13019269.276,,,192885071.174,22745947.03999999,37705453.084,103678600.036,175399649.817,29058050.395,266305.371
SFBT,2008-06-30,2008,S1,TND,unite,265051129.249,91302564.715,171891480.559,21930373.092,36128178.896,18371431.471,3414475.81,177493786.228,403846.459,-104930909.919,-305138.187,164368207.094,56000000.0,100682922.155,70545102.968,30137819.187,15485449.691,265051129.249,72619318.134,16051004.084,34273960.72,5924603.661,4817681.624,62933782.413,78984786.497,-532610.742,21256213.543,20868685.708,,,,26038538.553,,,194506026.28100002,22614545.722000033,42573102.297,105236048.106,177897632.68699998,58116100.789000005,532610.742
SFBT,2008-09-30,2008,9M,TND,unite,252615773.641,75122766.372,175685852.562,22744845.411,31154536.85,10047808.716,3871940.867,179836729.336,418346.459,-106551024.209,-321980.877,171640816.007,56000000.0,80974957.635,50934090.86,30040866.774,11715036.546,252615773.641,115988801.44,25229712.24,41546569.633,8550802.718,7208184.71,100305057.824,125534770.064,-892134.482,21555369.918,32437896.95,,,,43707274.233,,,201681682.781,25995830.218999982,42184345.715,106873005.08600001,180255075.795,93096873.11400001,892134.482
SFBT,2008-12-31,2008,FY,TND,unite,240180418.034,58942968.029,179480224.565,23559317.731,26180894.805,1724185.96,4329405.924,182179672.443,432846.459,-108171138.499,-338823.566,178913424.919,56000000.0,61266993.115,31323078.753,29943914.362,7944623.401,240180418.034,159358284.746,34408420.396,48819178.545,11177001.775,9598687.796,137676333.235,172084753.631,-1251658.223,21854526.292,44007108.192,,,,61376009.913,,,208857339.281,29377114.71599999,41795589.135,108509962.065,182612518.90199998,128077645.43900001,1251658.223
SFBT,2009-03-31,2009,T1,TND,unite,261748423.127,77835352.781,182292122.234,24088521.795,35624678.157,6741623.885,7535229.176,186055980.089,432846.459,-109904496.911,-347672.092,180241481.515,56000000.0,83001706.508,52499202.736,30502503.772,13755269.765,263243188.023,41526829.819,8494760.822,18252633.247,3181092.643,2246875.385,36784796.753,45279557.576,-167837.051,11024456.801,10741636.207,,,,13521947.638,,,210743985.287,28451863.053000003,45957930.187,110252169.00299999,186488826.54799998,34537921.368,167837.051
SFBT,2009-06-30,2009,S1,TND,unite,283556072.721,96937652.92,185135263.211,24623605.905,45173392.435,11814811.12,10776672.686,189975357.82,432846.459,-111657114.861,-356618.935,181584294.295,56000000.0,104977916.717,73910616.985,31067299.732,19630478.867,286562211.012,83053659.638,16989521.645,36505266.494,6362185.285,4493750.771,73569593.507,90559115.152,-335674.102,22048913.602,21483272.416,,,,27043895.277,,,212651594.02699998,27516330.815999985,50166519.473000005,112013733.796,190408204.27899998,69075842.736,335674.102
SFBT,2009-09-30,2009,9M,TND,unite,284722932.814,95772334.936,187306234.219,24139712.806,40446297.171,19563529.968,9005098.159,190837498.289,463951.209,-112974151.561,-371806.446,190413952.543,56000000.0,95812049.417,56440032.126,39372017.291,14096631.19,286226001.96,131804693.285,28276963.197,45217726.183,9192575.777,6907390.522,115217992.416,143494955.613,-1067343.477,22383125.889,35184353.719,,,,44233777.754,,,229785969.83400002,42479735.61500001,50489378.787,113345958.007,191301449.498,108310601.894,1067343.477
SFBT,2009-12-31,2009,FY,TND,unite,285889792.908,94607016.952,189477205.226,23655819.706,35719201.906,27312248.816,7233523.631,191699638.758,495055.959,-114291188.261,-386993.958,199243610.791,56000000.0,86646182.117,38969447.268,47676734.849,8562783.514,285889792.908,180555726.932,39564404.749,53930185.872,12022966.27,9321030.274,156866391.325,196430796.074,-1799012.851,22717338.176,48885435.023,,,,61423660.231,,,246920345.64000002,57443140.414000005,50812238.098000005,114678182.21900001,192194694.71699998,147545361.051,1799012.851
SFBT,2010-03-31,2010,T1,TND,unite,299947210.689,103814026.423,194339903.125,29132143.83,43033044.991,19933328.907,8024161.881,196644399.486,495055.979,-116196354.872,-401334.31,200439817.304,58486187.845,99507393.385,51158153.599,48349239.786,18750252.209,299947210.689,46998758.5,10060246.0,19502852.0,3101915.5,2330847.5,40927804.0,50988050.0,929041.5,12353717.0,12391093.5,,,,22407139.0,,,248789057.08999997,54449153.964999974,53414936.611999996,116597689.182,197139455.465,38596956.5,0.0
SFBT,2010-06-30,2010,S1,TND,unite,314160822.0,113123336.0,199256631.0,34669316.0,50428153.0,12472421.0,8823585.0,201644102.0,495056.0,-118122690.0,-415834.0,201649315.0,61000000.0,112511507.0,63482290.0,49029217.0,29050915.0,314160822.0,93997517.0,20120492.0,39005704.0,6203831.0,4661695.0,81855608.0,101976100.0,1858083.0,24707434.0,24782187.0,,,,44814278.0,,,250678532.0,51421901.0,56046554.0,118538524.0,202139158.0,77193913.0,0.0
SFBT,2010-09-30,2010,9M,TND,unite,318019215.806,113950598.118,202166976.186,34847515.249,54561840.942,12649411.306,7844734.391,205727085.534,518654.504,-119307812.632,-427263.084,209832394.505,61000000.0,108186821.301,59958715.997,48228105.304,22572661.678,318019215.806,150949116.663,31005991.899,47188783.609,9305432.758,7091331.294,132220356.81,163226348.709,-522023.066,24910725.528,38097323.193,,,,73486108.44,,,258060499.809,55893523.622999996,66836694.513,119735075.716,206245740.03800002,125129025.516,522023.066
SFBT,2010-12-31,2010,FY,TND,unite,321877609.613,114777860.236,205077321.372,35025714.498,58695528.884,12826401.613,6865883.783,209810069.067,542253.009,-120492935.264,-438692.168,218015474.01,61000000.0,103862135.603,56435141.994,47426993.609,16094408.356,321877609.613,207900716.326,41891491.798,55371863.219,12407034.515,9520967.589,182585105.62,224476597.418,-2902129.133,25114017.057,51412459.387,,,,102157938.879,,,265442467.619,60365146.24699998,77626835.026,120931627.432,210352322.076,173064138.03100002,2902129.133
SFBT,2011-03-31,2011,T1,TND,unite,336076590.579,117104497.853,216912149.143,35797983.864,59585363.914,9690936.557,6641233.946,221638913.233,542253.005,-122632792.039,-450704.847,220885322.9,63486187.845,115191267.679,67047983.765,48143283.914,15991863.87,336076590.579,52311766.5,11101869.0,22685792.5,5081688.0,2586330.0,46309007.0,57410876.0,862601.0,14651018.5,13688199.0,,,,26728419.0,,,269028606.814,52116457.671000004,79391483.90799999,123083496.886,222181166.238,43722677.0,0.0
SFBT,2011-06-30,2011,S1,TND,unite,350433338.0,119456987.0,228878475.0,36578834.0,60485086.0,6520633.0,6414088.0,233599189.0,542253.0,-124796425.0,-462851.0,223787059.0,66000000.0,126646279.0,77778746.0,48867533.0,15888180.0,350433338.0,104623533.0,22203738.0,45371585.0,10163376.0,5172660.0,92618014.0,114821752.0,1725202.0,29302037.0,27376398.0,,,,53456838.0,,,272654592.0,43776117.0,81175740.0,125259276.0,234141442.0,87445354.0,0.0
SFBT,2011-09-30,2011,9M,TND,unite,345533046.978,114369945.502,228678332.068,36046424.727,59128819.432,7493622.986,5950767.985,238619869.296,567253.005,-127074937.273,-475912.62,232798564.199,66000000.0,112734482.78,64663872.817,48070609.962,16526761.536,345533046.978,172440449.364,34719232.114,54383090.193,16160283.912,9248488.308,153548507.672,188267739.786,-1127471.728,29053568.881,43967720.422,,,,87927345.551,,,280869174.161,52190842.093000025,78648482.623,127550849.893,239187122.301,144300019.364,1127471.728
SFBT,2011-12-31,2011,FY,TND,unite,340632755.956,109282904.005,228478189.137,35514015.453,57772552.863,8466612.972,5487447.97,243640549.592,592253.009,-129353449.547,-488974.241,241810069.397,66000000.0,98822686.559,51548999.635,47273686.924,17165343.072,340632755.956,240257365.729,47234726.228,63394595.387,22157191.824,13324316.617,214479001.344,261713727.572,-3980145.456,28805100.762,60559042.845,,,,122397853.102,,,289083756.32100004,60605567.184000045,76121225.244,129842423.788,244232802.601,201154684.727,3980145.456
SFBT,2012-03-31,2012,T1,TND,unite,373951325.478,131579016.502,239856616.068,38803131.727,64877458.432,14741751.486,8541723.985,251558844.296,676298.505,-131009208.773,-516019.12,244967255.699,71000000.0,128984069.78,80545109.317,48438960.462,18454235.536,373951325.478,65804938.5,12938436.5,24457186.5,5962165.0,2970703.0,58822647.5,71761084.0,-855959.5,14813910.5,15909139.5,,,,32565655.5,,,293406216.161,53549600.093000025,85226354.623,131525227.893,252235142.801,55851944.5,855959.5
SFBT,2012-06-30,2012,S1,TND,unite,407269895.0,153875129.0,251235043.0,42092248.0,71982364.0,21016890.0,11596000.0,259477139.0,760344.0,-132664968.0,-543064.0,248124442.0,76000000.0,159145453.0,109541219.0,49604234.0,19743128.0,407269895.0,131609877.0,25876873.0,48914373.0,11924330.0,5941406.0,117645295.0,143522168.0,-1711919.0,29627821.0,31818279.0,,,,65131311.0,,,297728676.0,46493633.0,94331484.0,133208032.0,260237483.0,111703889.0,1711919.0
SFBT,2012-09-30,2012,9M,TND,unite,389070435.035,132099965.345,254400632.85,41019496.497,61874220.003,15539254.514,7879214.627,263812311.076,763981.363,-135397391.817,-568177.019,260781949.072,76000000.0,128288485.963,79708426.547,48580059.416,18878373.462,389070435.035,211901035.157,40831616.497,61571879.873,18056609.58,9719061.708,189590249.421,230421865.918,-2843807.446,29854348.21,50550678.205,,,,107688117.618,,,309362008.488,54961375.63799998,84015343.038,135965568.836,264576292.439,179871187.713,2843807.446
SFBT,2012-12-31,2012,FY,TND,unite,370870975.071,110324801.691,257566222.699,39946744.993,51766076.007,10061619.027,4162429.255,268147483.152,767618.726,-138129815.634,-593290.039,273439456.144,76000000.0,97431518.927,49875634.095,47555884.832,18013618.923,370870975.071,292192193.315,55786359.994,74229386.747,24188889.161,13496717.416,261535203.842,317321563.836,13496717.0,30080875.42,69283078.0,95056931.0,-516177.0,254818929.0,150244924.0,104574005.0,37586107.0,320995340.976,63429118.27700001,73699202.07699999,138723105.673,268915101.878,248038486.426,0.0
SFBT,2013-03-31,2013,T1,TND,unite,394373741.61,119389418.364,272490316.716,43575583.781,55668397.44,7535511.445,4021606.974,271267994.9,1190208.641,-140726080.623,-619236.373,283302153.807,77988950.276,111071587.803,62956396.147,48115191.656,17827967.359,394373741.61,77408266.5,17205062.0,35584953.5,6770407.0,3472279.5,67217767.5,84422829.5,-1571549.5,23335876.5,20677341.5,,,,38035239.0,,,331417345.463,58927028.74699998,81416013.862,141345316.996,272458203.54099995,63745488.0,1571549.5
SFBT,2013-06-30,2013,S1,TND,unite,418137650.0,128554753.0,287580234.0,47244743.0,59614078.0,4981336.0,3879220.0,274423179.0,1617494.0,-143351193.0,-645471.0,293274437.0,80000000.0,124863213.0,76182500.0,48680713.0,17640253.0,418137650.0,154816533.0,34410124.0,71169907.0,13540814.0,6944559.0,134435535.0,168845659.0,-3143099.0,46671753.0,41354683.0,,,,76070478.0,,,341955150.0,54374916.0,89218568.0,143996664.0,276040673.0,127490976.0,3143099.0
SFBT,2013-09-30,2013,9M,TND,unite,424474137.612,131178203.692,290797991.61,45927131.527,59768356.829,11483808.893,3711248.399,277271525.588,1604307.363,-145956237.195,-673731.689,305951131.714,80000000.0,118523005.898,71358449.244,47164556.654,17071275.235,424474137.612,237320616.454,49593915.979,83846601.641,19690446.027,11966804.455,209194133.66,258788049.64,-4917405.02,46915626.916,61560720.434,,,,119080493.826,,,353115688.368,62317696.75799996,88624213.121,146629968.884,278875832.951,197227329.20499998,4917405.02
SFBT,2013-12-31,2013,FY,TND,unite,430810625.224,133801654.383,294015749.22,44609520.054,59922635.658,17986281.786,3543276.798,280119872.176,1591120.726,-148561281.39,-701992.378,318627826.427,80000000.0,112182798.797,66534398.489,45648400.308,16502297.47,430810625.224,319824699.909,64777707.959,96523296.283,25840078.055,16989049.911,283952732.321,348730440.28,16989050.0,47159500.832,81766757.0,109477269.0,-650433.0,277515313.0,162090510.0,115424803.0,43133256.0,364276226.735,70260477.51499999,88029858.242,149263273.76799998,281710992.902,266963682.40999997,0.0
